Review_ID,Text_Review,Cleaned_Text,Rating,Sentiment_Label,Satisfaction_Level,Visitor_Age,Visit_Type,Travel_Purpose,Visit_Season,Eco_Activity_Count,Wildlife_Sightings,Site_Type,Eco_Rating,Guide_Quality,Cleanliness_Score,Service_Quality,Eco_Education_Level,Sustainability_Score,Crowd_Level,Noise_Level,Safety_Score,Travel_Distance_km,Expense_Level,Would_Recommend,Return_Intent,GroundTruth
496,Loud noise ruined the natural experience.,loud noise ruined the natural experience,2,Negative,Low,25,Solo,Wildlife Study,Summer,5,8,Wildlife Sanctuary,4.7,4,2,3,3,1,3,2,2,252,High,No,Yes,Negative-Low
497,A very eco-friendly resort with sustainable facilities and amazing staff support.,a very ecofriendly resort with sustainable facilities and amazing staff support,5,Positive,High,42,Solo,Photography,Winter,6,1,Forest,4.0,4,4,4,5,5,3,2,3,202,High,No,No,Positive-High
498,Transport delays and chaotic scheduling.,transport delays and chaotic scheduling,1,Negative,Low,36,Friends,Photography,Spring,5,0,Mountain,2.2,1,5,5,2,3,4,1,3,135,High,Yes,No,Negative-Low
499,"The experience was average overall, not too good and not too bad.",the experience was average overall not too good and not too bad,3,Neutral,Medium,25,Friends,Adventure,Monsoon,6,5,Lake,4.8,4,2,3,2,1,2,4,5,315,Low,Yes,Yes,Neutral-Medium
500,The eco-camp was well maintained with organic food and responsible tourism guidelines.,the ecocamp was well maintained with organic food and responsible tourism guidelines,5,Positive,High,48,Solo,Relaxation,Spring,8,2,Lake,4.2,3,2,3,5,4,2,2,1,380,Low,No,Yes,Positive-High
501,Almost no wildlife sightings due to poor planning.,almost no wildlife sightings due to poor planning,1,Negative,Low,50,Solo,Leisure,Monsoon,6,0,Forest,2.2,2,4,3,3,2,4,2,3,452,High,No,No,Negative-Low
502,The atmosphere was nice although activities were limited.,the atmosphere was nice although activities were limited,3,Neutral,Medium,26,Couple,Leisure,Winter,5,1,Wildlife Sanctuary,5.0,3,3,5,2,4,1,2,2,335,Low,Yes,Yes,Neutral-Medium
503,Activities were minimal and suitable for short trips.,activities were minimal and suitable for short trips,3,Neutral,Medium,47,Solo,Photography,Monsoon,7,3,Coastal,3.4,5,4,4,5,3,4,4,4,426,Medium,Yes,No,Neutral-Medium
504,Service was acceptable but nothing exceptional.,service was acceptable but nothing exceptional,3,Neutral,Medium,27,Couple,Wildlife Study,Winter,10,8,Mountain,4.8,5,1,1,3,1,5,5,4,408,Low,No,No,Neutral-Medium
505,Limited activities and nothing worth recommending.,limited activities and nothing worth recommending,2,Negative,Low,44,Friends,Leisure,Summer,8,4,Coastal,3.1,1,5,4,3,2,4,5,1,470,Low,No,Yes,Negative-Low
506,Limited activities and nothing worth recommending.,limited activities and nothing worth recommending,2,Negative,Low,39,Family,Leisure,Winter,7,7,Coastal,2.3,1,5,1,1,4,2,3,2,177,High,No,Yes,Negative-Low
507,Campsite was overcrowded and not cleaned regularly.,campsite was overcrowded and not cleaned regularly,2,Negative,Low,40,Group,Leisure,Spring,3,6,Coastal,4.8,4,3,1,4,1,4,3,5,184,Low,No,No,Negative-Low
508,Campsite was overcrowded and not cleaned regularly.,campsite was overcrowded and not cleaned regularly,2,Negative,Low,38,Group,Relaxation,Summer,4,4,Coastal,1.7,4,5,2,5,4,3,1,3,295,Low,No,No,Negative-Low
509,Loved the solar-powered cottages and eco-friendly activities offered on site.,loved the solarpowered cottages and ecofriendly activities offered on site,5,Positive,High,32,Family,Leisure,Spring,7,8,Lake,3.4,5,5,1,2,5,4,3,1,288,Medium,No,No,Positive-High
510,The biodiversity walk was educational and offered close-up experiences with rare species.,the biodiversity walk was educational and offered closeup experiences with rare species,5,Positive,High,40,Couple,Leisure,Monsoon,8,7,Wildlife Sanctuary,3.1,1,1,1,1,5,3,5,3,47,High,Yes,Yes,Positive-High
511,The biodiversity walk was educational and offered close-up experiences with rare species.,the biodiversity walk was educational and offered closeup experiences with rare species,4,Positive,High,29,Group,Leisure,Monsoon,1,7,Mountain,1.1,4,5,4,5,2,3,5,3,228,High,Yes,No,Positive-High
512,Cleanliness was average throughout the site.,cleanliness was average throughout the site,3,Neutral,Medium,64,Friends,Relaxation,Spring,1,5,Mountain,2.3,3,2,4,3,1,5,1,4,275,Medium,No,No,Neutral-Medium
513,The atmosphere was nice although activities were limited.,the atmosphere was nice although activities were limited,3,Neutral,Medium,62,Couple,Wildlife Study,Monsoon,10,2,Coastal,3.7,4,4,3,3,4,5,4,5,357,Low,No,No,Neutral-Medium
514,Poor service throughout the trip and the location was overcrowded.,poor service throughout the trip and the location was overcrowded,2,Negative,Low,37,Family,Wildlife Study,Winter,10,5,Coastal,3.4,4,5,2,5,1,1,4,3,364,High,No,No,Negative-Low
515,"Nothing memorable, but nothing terrible either.",nothing memorable but nothing terrible either,3,Neutral,Medium,26,Family,Adventure,Summer,3,8,Coastal,2.0,2,1,3,1,2,1,1,2,200,Low,Yes,No,Neutral-Medium
516,The eco-activities like tree planting and conservation talks were meaningful.,the ecoactivities like tree planting and conservation talks were meaningful,4,Positive,High,45,Couple,Leisure,Summer,3,4,Wildlife Sanctuary,1.8,5,3,4,2,4,2,2,1,383,Medium,Yes,Yes,Positive-High
517,Unsafe trail conditions made hiking risky.,unsafe trail conditions made hiking risky,1,Negative,Low,32,Couple,Relaxation,Summer,4,4,Coastal,4.6,2,4,1,3,2,3,3,1,31,High,Yes,Yes,Negative-Low
518,Overall a simple and routine visit.,overall a simple and routine visit,3,Neutral,Medium,58,Friends,Adventure,Winter,8,0,Coastal,3.6,3,1,4,5,2,3,2,5,251,Medium,No,No,Neutral-Medium
519,Almost no wildlife sightings due to poor planning.,almost no wildlife sightings due to poor planning,1,Negative,Low,34,Friends,Adventure,Monsoon,10,2,Forest,1.9,4,1,1,4,1,3,3,4,281,Medium,Yes,Yes,Negative-Low
520,Excellent wildlife sightings; the guides were knowledgeable and passionate about conservation.,excellent wildlife sightings the guides were knowledgeable and passionate about conservation,4,Positive,High,62,Friends,Leisure,Monsoon,5,5,Coastal,4.7,4,3,4,3,2,1,3,4,453,Low,Yes,Yes,Positive-High
521,The resort was decent but lacked environmental awareness programs.,the resort was decent but lacked environmental awareness programs,3,Neutral,Medium,62,Family,Relaxation,Winter,5,0,Wildlife Sanctuary,4.6,3,2,1,1,5,2,2,1,433,High,No,No,Neutral-Medium
522,Good experience but it did not fully meet expectations.,good experience but it did not fully meet expectations,3,Neutral,Medium,52,Family,Leisure,Summer,7,6,Forest,3.8,4,4,3,2,5,4,1,1,402,Low,Yes,Yes,Neutral-Medium
523,Scenery was pleasant but transport arrangements were weak.,scenery was pleasant but transport arrangements were weak,3,Neutral,Medium,23,Couple,Wildlife Study,Winter,9,1,Mountain,3.6,5,2,1,3,1,1,4,3,362,Low,No,Yes,Neutral-Medium
524,"The experience was average overall, not too good and not too bad.",the experience was average overall not too good and not too bad,3,Neutral,Medium,52,Family,Photography,Winter,9,3,Wildlife Sanctuary,2.7,2,3,1,2,2,3,2,5,290,Medium,No,Yes,Neutral-Medium
525,The forest trail was incredibly beautiful and peaceful with stunning views everywhere.,the forest trail was incredibly beautiful and peaceful with stunning views everywhere,4,Positive,High,26,Family,Leisure,Winter,9,4,Forest,3.1,2,2,1,3,3,4,2,4,368,Low,Yes,No,Positive-High
526,"Nothing memorable, but nothing terrible either.",nothing memorable but nothing terrible either,3,Neutral,Medium,65,Couple,Leisure,Summer,8,4,Wildlife Sanctuary,2.1,4,4,5,3,3,5,4,5,276,Medium,Yes,Yes,Neutral-Medium
527,"A calm, refreshing experience surrounded by untouched natural beauty.",a calm refreshing experience surrounded by untouched natural beauty,5,Positive,High,40,Group,Relaxation,Monsoon,8,1,Wildlife Sanctuary,3.4,3,3,5,3,2,5,3,3,154,High,No,No,Positive-High
528,The trip felt overpriced and disappointing.,the trip felt overpriced and disappointing,1,Negative,Low,63,Couple,Wildlife Study,Summer,1,3,Coastal,1.9,2,2,3,5,2,5,3,2,345,High,Yes,No,Negative-Low
529,Loud noise ruined the natural experience.,loud noise ruined the natural experience,1,Negative,Low,45,Couple,Photography,Monsoon,6,2,Forest,2.1,3,1,2,2,2,5,1,3,77,Low,Yes,Yes,Negative-Low
530,The trek was breathtaking and the staff ensured full safety.,the trek was breathtaking and the staff ensured full safety,4,Positive,High,54,Group,Relaxation,Spring,10,6,Lake,2.4,5,2,5,3,5,1,4,1,340,Medium,No,Yes,Positive-High
531,Service was acceptable but nothing exceptional.,service was acceptable but nothing exceptional,3,Neutral,Medium,55,Group,Photography,Winter,7,8,Wildlife Sanctuary,1.5,5,3,1,5,3,1,2,3,47,Low,No,Yes,Neutral-Medium
532,"The experience was average overall, not too good and not too bad.",the experience was average overall not too good and not too bad,3,Neutral,Medium,44,Couple,Adventure,Monsoon,2,5,Coastal,1.7,1,4,3,5,2,2,2,4,350,Medium,Yes,No,Neutral-Medium
533,The biodiversity walk was educational and offered close-up experiences with rare species.,the biodiversity walk was educational and offered closeup experiences with rare species,4,Positive,High,25,Friends,Leisure,Summer,8,1,Wildlife Sanctuary,2.9,5,1,3,1,3,3,3,5,305,High,Yes,Yes,Positive-High
534,Loud noise ruined the natural experience.,loud noise ruined the natural experience,1,Negative,Low,49,Group,Relaxation,Winter,7,5,Coastal,4.7,5,4,1,2,2,4,5,4,206,Medium,Yes,No,Negative-Low
535,Excellent wildlife sightings; the guides were knowledgeable and passionate about conservation.,excellent wildlife sightings the guides were knowledgeable and passionate about conservation,4,Positive,High,29,Family,Photography,Summer,1,8,Lake,3.1,1,5,1,2,3,3,3,3,222,Medium,No,No,Positive-High
536,Food quality was moderate and service was inconsistent.,food quality was moderate and service was inconsistent,3,Neutral,Medium,58,Solo,Leisure,Winter,6,5,Wildlife Sanctuary,4.1,1,3,3,4,1,3,3,1,438,Low,No,No,Neutral-Medium
537,The night safari was thrilling and very well organized by the staff.,the night safari was thrilling and very well organized by the staff,5,Positive,High,65,Group,Wildlife Study,Spring,2,5,Lake,4.5,4,4,2,3,1,5,1,2,490,Medium,No,No,Positive-High
538,A very eco-friendly resort with sustainable facilities and amazing staff support.,a very ecofriendly resort with sustainable facilities and amazing staff support,5,Positive,High,44,Group,Wildlife Study,Summer,4,2,Forest,1.1,2,2,5,5,2,1,4,1,44,Low,No,Yes,Positive-High
539,"Rooms were unclean, noisy, and poorly maintained.",rooms were unclean noisy and poorly maintained,2,Negative,Low,27,Family,Leisure,Summer,4,5,Coastal,4.0,3,1,3,5,2,2,1,5,220,Low,No,Yes,Negative-Low
540,"Nothing memorable, but nothing terrible either.",nothing memorable but nothing terrible either,3,Neutral,Medium,20,Couple,Adventure,Monsoon,8,1,Coastal,1.8,2,1,1,1,1,4,4,2,295,High,No,No,Neutral-Medium
541,Limited activities and nothing worth recommending.,limited activities and nothing worth recommending,2,Negative,Low,29,Couple,Adventure,Spring,3,4,Wildlife Sanctuary,2.5,2,4,2,3,4,1,2,3,98,High,Yes,Yes,Negative-Low
542,"Nothing memorable, but nothing terrible either.",nothing memorable but nothing terrible either,3,Neutral,Medium,56,Family,Wildlife Study,Monsoon,8,6,Lake,1.4,1,1,2,5,1,2,4,2,243,Medium,No,Yes,Neutral-Medium
543,Wonderful conservation efforts and very clean surroundings made the trip special.,wonderful conservation efforts and very clean surroundings made the trip special,5,Positive,High,53,Friends,Photography,Summer,9,0,Forest,4.3,4,2,5,4,1,5,1,2,140,High,No,No,Positive-High
544,The trip felt overpriced and disappointing.,the trip felt overpriced and disappointing,1,Negative,Low,42,Family,Wildlife Study,Monsoon,5,1,Forest,3.6,2,3,3,4,5,1,2,2,123,Medium,Yes,Yes,Negative-Low
545,The trek was breathtaking and the staff ensured full safety.,the trek was breathtaking and the staff ensured full safety,5,Positive,High,51,Solo,Relaxation,Winter,9,6,Coastal,2.5,2,1,1,5,2,2,2,4,245,High,Yes,Yes,Positive-High
546,Bad food quality and slow staff response.,bad food quality and slow staff response,2,Negative,Low,25,Solo,Adventure,Monsoon,8,8,Lake,2.7,5,3,4,2,3,2,4,4,97,Low,Yes,Yes,Negative-Low
547,Loved the solar-powered cottages and eco-friendly activities offered on site.,loved the solarpowered cottages and ecofriendly activities offered on site,4,Positive,High,26,Friends,Relaxation,Spring,10,8,Wildlife Sanctuary,2.4,2,3,1,4,1,4,3,3,39,Low,No,Yes,Positive-High
548,Guides were unorganized and did not follow safety guidelines.,guides were unorganized and did not follow safety guidelines,1,Negative,Low,63,Solo,Wildlife Study,Summer,4,2,Wildlife Sanctuary,3.9,5,1,2,4,4,4,3,3,303,High,No,Yes,Negative-Low
549,Guides were unorganized and did not follow safety guidelines.,guides were unorganized and did not follow safety guidelines,1,Negative,Low,47,Group,Wildlife Study,Winter,6,0,Forest,2.6,5,2,4,4,2,3,1,1,233,Low,Yes,No,Negative-Low
550,The forest trail was incredibly beautiful and peaceful with stunning views everywhere.,the forest trail was incredibly beautiful and peaceful with stunning views everywhere,5,Positive,High,27,Friends,Photography,Spring,9,1,Forest,2.0,5,1,1,5,4,1,3,4,330,Low,Yes,No,Positive-High
551,"The experience was average overall, not too good and not too bad.",the experience was average overall not too good and not too bad,3,Neutral,Medium,42,Group,Adventure,Summer,8,5,Forest,1.3,1,5,5,2,5,2,3,4,476,Medium,Yes,Yes,Neutral-Medium
552,"A calm, refreshing experience surrounded by untouched natural beauty.",a calm refreshing experience surrounded by untouched natural beauty,5,Positive,High,44,Group,Leisure,Summer,5,3,Mountain,1.3,4,2,5,2,2,3,3,4,497,Low,Yes,Yes,Positive-High
553,Terrible booking process with no communication.,terrible booking process with no communication,2,Negative,Low,48,Friends,Leisure,Monsoon,2,6,Forest,2.6,1,4,2,3,1,1,2,4,405,Low,Yes,No,Negative-Low
554,Almost no wildlife sightings due to poor planning.,almost no wildlife sightings due to poor planning,1,Negative,Low,57,Family,Leisure,Spring,6,7,Lake,3.3,3,1,3,1,3,1,1,2,356,High,Yes,Yes,Negative-Low
555,Activities were minimal and suitable for short trips.,activities were minimal and suitable for short trips,3,Neutral,Medium,30,Solo,Relaxation,Spring,9,1,Lake,3.8,1,3,5,4,3,3,2,3,396,Low,Yes,No,Neutral-Medium
556,Eco-friendly claims were false and misleading.,ecofriendly claims were false and misleading,2,Negative,Low,30,Solo,Relaxation,Winter,8,5,Forest,1.6,3,1,4,3,5,2,3,5,298,High,No,Yes,Negative-Low
557,The resort was decent but lacked environmental awareness programs.,the resort was decent but lacked environmental awareness programs,3,Neutral,Medium,38,Couple,Leisure,Monsoon,8,8,Forest,3.1,5,5,2,1,2,4,2,2,246,Medium,Yes,No,Neutral-Medium
558,"The experience was average overall, not too good and not too bad.",the experience was average overall not too good and not too bad,3,Neutral,Medium,51,Friends,Leisure,Summer,2,7,Forest,1.6,1,5,5,1,3,2,3,3,430,High,No,Yes,Neutral-Medium
559,Wonderful conservation efforts and very clean surroundings made the trip special.,wonderful conservation efforts and very clean surroundings made the trip special,4,Positive,High,62,Family,Photography,Winter,2,2,Mountain,3.1,4,3,1,2,1,1,2,2,488,Medium,No,Yes,Positive-High
560,Transport delays and chaotic scheduling.,transport delays and chaotic scheduling,2,Negative,Low,36,Friends,Wildlife Study,Winter,4,4,Coastal,2.7,3,3,4,5,1,5,4,4,114,Medium,No,No,Negative-Low
561,"The experience was average overall, not too good and not too bad.",the experience was average overall not too good and not too bad,3,Neutral,Medium,42,Friends,Photography,Winter,9,1,Mountain,1.3,1,4,4,2,1,4,4,2,245,Low,Yes,Yes,Neutral-Medium
562,Good value but nothing extraordinary.,good value but nothing extraordinary,3,Neutral,Medium,26,Solo,Photography,Spring,4,4,Coastal,2.9,3,2,1,5,2,5,2,4,29,Medium,No,No,Neutral-Medium
563,Cleanliness was average throughout the site.,cleanliness was average throughout the site,3,Neutral,Medium,63,Friends,Photography,Spring,9,2,Coastal,2.7,3,1,5,1,3,3,2,1,31,Low,No,No,Neutral-Medium
564,"We enjoyed the peaceful environment, fresh air, and beautiful birdwatching spots.",we enjoyed the peaceful environment fresh air and beautiful birdwatching spots,5,Positive,High,45,Solo,Leisure,Winter,10,3,Mountain,4.1,1,5,3,2,1,1,4,5,444,Low,No,Yes,Positive-High
565,Cleanliness was average throughout the site.,cleanliness was average throughout the site,3,Neutral,Medium,19,Solo,Adventure,Spring,9,2,Wildlife Sanctuary,4.0,2,4,5,2,5,2,2,2,487,High,Yes,No,Neutral-Medium
566,"Rooms were unclean, noisy, and poorly maintained.",rooms were unclean noisy and poorly maintained,1,Negative,Low,59,Friends,Leisure,Summer,3,8,Lake,3.5,3,4,4,4,5,5,2,4,175,Low,Yes,Yes,Negative-Low
567,The place was dirty with plastic waste everywhere.,the place was dirty with plastic waste everywhere,1,Negative,Low,62,Friends,Leisure,Monsoon,10,3,Lake,3.4,4,1,4,1,1,3,5,4,174,Medium,Yes,No,Negative-Low
568,"We enjoyed the peaceful environment, fresh air, and beautiful birdwatching spots.",we enjoyed the peaceful environment fresh air and beautiful birdwatching spots,5,Positive,High,61,Friends,Relaxation,Winter,4,8,Lake,3.1,4,4,5,4,2,1,4,5,498,Low,Yes,No,Positive-High
569,A very eco-friendly resort with sustainable facilities and amazing staff support.,a very ecofriendly resort with sustainable facilities and amazing staff support,4,Positive,High,50,Solo,Leisure,Summer,4,4,Coastal,1.4,3,2,3,2,3,3,2,2,313,Medium,Yes,No,Positive-High
570,Excellent wildlife sightings; the guides were knowledgeable and passionate about conservation.,excellent wildlife sightings the guides were knowledgeable and passionate about conservation,5,Positive,High,53,Solo,Adventure,Winter,1,0,Forest,2.0,2,4,2,4,5,1,2,2,7,Low,Yes,Yes,Positive-High
571,Loud noise ruined the natural experience.,loud noise ruined the natural experience,1,Negative,Low,49,Group,Wildlife Study,Summer,10,4,Wildlife Sanctuary,3.6,5,4,3,1,5,2,4,1,129,Medium,Yes,Yes,Negative-Low
572,Guides were unorganized and did not follow safety guidelines.,guides were unorganized and did not follow safety guidelines,1,Negative,Low,56,Couple,Wildlife Study,Monsoon,3,3,Lake,1.7,1,1,5,4,1,3,5,5,172,Medium,Yes,Yes,Negative-Low
573,Terrible booking process with no communication.,terrible booking process with no communication,2,Negative,Low,38,Solo,Leisure,Winter,7,8,Mountain,1.6,2,2,3,3,1,5,4,3,186,High,No,Yes,Negative-Low
574,Service was acceptable but nothing exceptional.,service was acceptable but nothing exceptional,3,Neutral,Medium,47,Solo,Adventure,Monsoon,6,5,Forest,2.8,2,3,5,5,5,4,2,4,172,High,No,Yes,Neutral-Medium
575,"Facilities were okay, but some parts could be improved.",facilities were okay but some parts could be improved,3,Neutral,Medium,51,Couple,Adventure,Monsoon,7,3,Lake,3.0,3,3,3,3,4,3,5,2,341,Low,No,No,Neutral-Medium
576,Service was acceptable but nothing exceptional.,service was acceptable but nothing exceptional,3,Neutral,Medium,52,Group,Photography,Monsoon,4,2,Wildlife Sanctuary,2.8,5,5,5,5,5,2,3,4,491,High,Yes,No,Neutral-Medium
577,Almost no wildlife sightings due to poor planning.,almost no wildlife sightings due to poor planning,2,Negative,Low,59,Friends,Leisure,Monsoon,2,4,Wildlife Sanctuary,3.2,2,1,4,1,1,1,3,3,242,Low,No,No,Negative-Low
578,The night safari was thrilling and very well organized by the staff.,the night safari was thrilling and very well organized by the staff,5,Positive,High,42,Friends,Wildlife Study,Winter,6,4,Lake,3.1,5,5,2,4,3,4,1,1,386,High,Yes,No,Positive-High
579,"Facilities were okay, but some parts could be improved.",facilities were okay but some parts could be improved,3,Neutral,Medium,35,Friends,Relaxation,Summer,9,4,Wildlife Sanctuary,1.2,5,5,5,3,2,5,2,1,295,Low,No,Yes,Neutral-Medium
580,Unsafe trail conditions made hiking risky.,unsafe trail conditions made hiking risky,2,Negative,Low,65,Group,Photography,Winter,10,2,Coastal,3.1,1,1,4,2,1,1,2,4,316,Medium,No,Yes,Negative-Low
581,The tour guide shared basic information but wasn't engaging.,the tour guide shared basic information but wasnt engaging,3,Neutral,Medium,49,Friends,Wildlife Study,Winter,9,3,Coastal,2.4,2,1,1,3,3,3,3,2,289,High,No,No,Neutral-Medium
582,"Nothing memorable, but nothing terrible either.",nothing memorable but nothing terrible either,3,Neutral,Medium,21,Couple,Adventure,Spring,2,6,Coastal,1.3,4,4,5,5,2,5,3,1,209,High,No,No,Neutral-Medium
583,Campsite was overcrowded and not cleaned regularly.,campsite was overcrowded and not cleaned regularly,1,Negative,Low,37,Couple,Leisure,Summer,1,3,Forest,4.5,4,4,2,3,1,1,2,5,499,High,Yes,Yes,Negative-Low
584,The nature guide explained everything clearly and made the tour more enjoyable.,the nature guide explained everything clearly and made the tour more enjoyable,4,Positive,High,49,Friends,Adventure,Monsoon,4,7,Coastal,4.5,2,4,3,2,2,5,4,5,276,High,Yes,Yes,Positive-High
585,"Rooms were unclean, noisy, and poorly maintained.",rooms were unclean noisy and poorly maintained,1,Negative,Low,37,Family,Leisure,Winter,8,4,Coastal,4.0,3,5,5,1,5,5,2,2,62,Low,No,No,Negative-Low
586,Cleanliness was average throughout the site.,cleanliness was average throughout the site,3,Neutral,Medium,39,Solo,Relaxation,Spring,1,2,Mountain,4.2,2,2,3,3,4,2,4,3,32,High,No,No,Neutral-Medium
587,Service was acceptable but nothing exceptional.,service was acceptable but nothing exceptional,3,Neutral,Medium,26,Family,Relaxation,Summer,4,1,Mountain,1.0,3,1,5,3,1,5,3,5,125,High,No,Yes,Neutral-Medium
588,Unsafe trail conditions made hiking risky.,unsafe trail conditions made hiking risky,1,Negative,Low,56,Family,Adventure,Winter,7,2,Wildlife Sanctuary,4.1,5,1,4,5,5,3,5,5,500,Low,No,No,Negative-Low
589,Good value but nothing extraordinary.,good value but nothing extraordinary,3,Neutral,Medium,65,Solo,Adventure,Monsoon,5,3,Coastal,1.2,1,4,2,2,5,4,4,2,263,Low,Yes,Yes,Neutral-Medium
590,Bad food quality and slow staff response.,bad food quality and slow staff response,2,Negative,Low,50,Friends,Relaxation,Summer,8,5,Lake,1.8,5,2,2,4,2,4,4,4,376,High,No,No,Negative-Low
591,Eco-friendly claims were false and misleading.,ecofriendly claims were false and misleading,2,Negative,Low,53,Friends,Photography,Summer,1,2,Lake,3.4,3,1,2,3,4,5,4,3,243,High,Yes,No,Negative-Low
592,The atmosphere was nice although activities were limited.,the atmosphere was nice although activities were limited,3,Neutral,Medium,52,Solo,Adventure,Summer,6,0,Coastal,1.3,4,3,4,1,5,2,2,4,230,High,Yes,Yes,Neutral-Medium
593,"Beautiful waterfalls, clean rivers, and well-protected wildlife zones.",beautiful waterfalls clean rivers and wellprotected wildlife zones,4,Positive,High,65,Friends,Photography,Spring,5,6,Mountain,4.7,3,1,4,5,3,5,5,3,465,High,Yes,Yes,Positive-High
594,Almost no wildlife sightings due to poor planning.,almost no wildlife sightings due to poor planning,1,Negative,Low,41,Friends,Leisure,Spring,2,0,Wildlife Sanctuary,1.7,1,4,1,5,1,1,2,1,321,High,No,Yes,Negative-Low
595,Wonderful conservation efforts and very clean surroundings made the trip special.,wonderful conservation efforts and very clean surroundings made the trip special,5,Positive,High,43,Solo,Leisure,Monsoon,7,8,Forest,4.1,4,5,1,5,1,1,4,3,81,Medium,Yes,Yes,Positive-High
596,Campsite was overcrowded and not cleaned regularly.,campsite was overcrowded and not cleaned regularly,1,Negative,Low,46,Group,Adventure,Summer,8,5,Wildlife Sanctuary,4.2,1,1,3,4,5,2,5,1,210,High,Yes,Yes,Negative-Low
597,The trip felt overpriced and disappointing.,the trip felt overpriced and disappointing,1,Negative,Low,43,Family,Relaxation,Summer,3,3,Mountain,3.0,4,3,4,1,4,4,5,5,90,Medium,Yes,Yes,Negative-Low
598,Campsite was overcrowded and not cleaned regularly.,campsite was overcrowded and not cleaned regularly,2,Negative,Low,35,Solo,Photography,Spring,3,5,Mountain,2.8,3,4,1,1,4,2,5,2,10,High,Yes,Yes,Negative-Low
599,"We enjoyed the peaceful environment, fresh air, and beautiful birdwatching spots.",we enjoyed the peaceful environment fresh air and beautiful birdwatching spots,4,Positive,High,56,Solo,Photography,Winter,4,2,Lake,2.9,1,2,2,2,5,5,5,1,279,Medium,No,Yes,Positive-High
600,The atmosphere was nice although activities were limited.,the atmosphere was nice although activities were limited,3,Neutral,Medium,39,Group,Photography,Summer,10,5,Wildlife Sanctuary,4.1,2,4,2,1,4,2,3,5,198,Medium,No,No,Neutral-Medium
601,The biodiversity walk was educational and offered close-up experiences with rare species.,the biodiversity walk was educational and offered closeup experiences with rare species,4,Positive,High,28,Friends,Adventure,Summer,9,6,Wildlife Sanctuary,1.1,2,5,3,5,4,1,3,5,400,High,Yes,No,Positive-High
602,Almost no wildlife sightings due to poor planning.,almost no wildlife sightings due to poor planning,1,Negative,Low,55,Friends,Relaxation,Monsoon,7,4,Wildlife Sanctuary,4.2,2,4,1,4,4,4,3,2,403,Low,No,No,Negative-Low
603,The eco-camp was well maintained with organic food and responsible tourism guidelines.,the ecocamp was well maintained with organic food and responsible tourism guidelines,5,Positive,High,57,Family,Wildlife Study,Spring,10,2,Coastal,2.8,2,4,2,1,4,4,1,3,378,Medium,Yes,Yes,Positive-High
604,Scenery was pleasant but transport arrangements were weak.,scenery was pleasant but transport arrangements were weak,3,Neutral,Medium,23,Couple,Relaxation,Spring,3,6,Coastal,3.1,2,3,3,1,1,5,2,3,85,Low,Yes,Yes,Neutral-Medium
605,The resort was decent but lacked environmental awareness programs.,the resort was decent but lacked environmental awareness programs,3,Neutral,Medium,49,Group,Relaxation,Spring,6,2,Mountain,3.5,4,3,5,3,2,3,4,4,43,Low,Yes,Yes,Neutral-Medium
606,Bad food quality and slow staff response.,bad food quality and slow staff response,1,Negative,Low,39,Friends,Leisure,Monsoon,2,4,Coastal,2.6,2,5,4,5,4,1,4,4,146,Low,No,Yes,Negative-Low
607,The atmosphere was nice although activities were limited.,the atmosphere was nice although activities were limited,3,Neutral,Medium,57,Friends,Relaxation,Monsoon,6,3,Mountain,3.0,5,1,2,2,2,5,5,3,121,Medium,Yes,No,Neutral-Medium
608,Service was acceptable but nothing exceptional.,service was acceptable but nothing exceptional,3,Neutral,Medium,46,Couple,Photography,Winter,5,4,Lake,1.5,3,4,5,1,5,3,1,1,28,Low,Yes,Yes,Neutral-Medium
609,The resort was decent but lacked environmental awareness programs.,the resort was decent but lacked environmental awareness programs,3,Neutral,Medium,31,Solo,Adventure,Monsoon,10,2,Forest,2.4,2,2,3,2,2,2,1,3,481,Low,Yes,Yes,Neutral-Medium
610,Too many insects and poorly managed waste disposal.,too many insects and poorly managed waste disposal,2,Negative,Low,57,Solo,Wildlife Study,Monsoon,2,2,Mountain,2.7,2,1,1,3,2,4,2,2,265,Medium,Yes,No,Negative-Low
611,Unsafe trail conditions made hiking risky.,unsafe trail conditions made hiking risky,2,Negative,Low,41,Solo,Leisure,Winter,3,1,Lake,4.9,3,3,5,3,1,5,4,4,194,Medium,No,Yes,Negative-Low
612,The forest trail was incredibly beautiful and peaceful with stunning views everywhere.,the forest trail was incredibly beautiful and peaceful with stunning views everywhere,5,Positive,High,34,Solo,Leisure,Monsoon,1,1,Forest,3.9,5,4,4,2,5,1,4,3,39,Medium,Yes,No,Positive-High
613,Too many insects and poorly managed waste disposal.,too many insects and poorly managed waste disposal,1,Negative,Low,26,Solo,Relaxation,Spring,6,8,Coastal,3.2,1,2,4,3,3,1,4,3,56,Medium,No,No,Negative-Low
614,The trip felt overpriced and disappointing.,the trip felt overpriced and disappointing,1,Negative,Low,25,Solo,Wildlife Study,Monsoon,3,5,Mountain,1.9,5,1,1,4,2,2,1,5,236,Low,No,No,Negative-Low
615,Service was acceptable but nothing exceptional.,service was acceptable but nothing exceptional,3,Neutral,Medium,28,Group,Leisure,Spring,5,5,Wildlife Sanctuary,2.1,5,1,2,1,1,5,5,5,213,Low,Yes,No,Neutral-Medium
